Clases,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4,Caracteristica 5,Caracteristica 6,Caracteristica 7
4,0.004836629234114554,1.605399167303865e-05,9.623728926153529e-08,1.486219102840032e-07,1.7703120325259714e-14,5.952593192740013e-10,-1.5906857453030837e-15
4,0.004887652118339414,1.6280109263144193e-05,9.629997121391924e-08,1.5141241231077058e-07,1.820600226775687e-14,6.106149969219473e-10,-1.6797724029329916e-15
5,0.0058712544113352985,2.516115712751329e-05,1.980547490906686e-07,2.9158402721436373e-07,6.990263518955556e-14,1.4619858711972404e-09,-4.8543376728043086e-15
5,0.006063406862745098,2.7684326141988658e-05,2.3403310744962937e-07,3.3226126687007285e-07,9.249936078417868e-14,1.7472042170032923e-09,-5.328864780395914e-15
5,0.005381000652691885,2.1596054629495536e-05,1.66692617748372e-07,2.3744345326809166e-07,4.71510470656481e-14,1.1027702635626547e-09,-2.8773506172779376e-15
5,0.005676317062333347,2.3834334635468982e-05,1.9454970814823945e-07,2.793756074918093e-07,6.500515695058598e-14,1.3630735494796263e-09,-4.071537657348209e-15
5,0.0053083595440227204,2.1055714898982353e-05,1.575315470791618e-07,2.2434676307807513e-07,4.20965844736345e-14,1.0287828786879836e-09,-2.583974396112119e-15
5,0.005892323955588475,2.5839993425439415e-05,2.1218939905438151e-07,3.058572430824035e-07,7.777630420055021e-14,1.5538356494096217e-09,-4.7034793959169315e-15
5,0.005210692427082386,1.9638223641305714e-05,1.4262820032478267e-07,2.0957044125039917e-07,3.6130217836195404e-14,9.281574769800463e-10,-2.7199341612664397e-15
5,0.005474663663928414,2.192106063614567e-05,1.655199994373982e-07,2.41783508326463e-07,4.824741352405389e-14,1.131332173995433e-09,-3.42450430264848e-15
5,0.006234461581422876,2.9239789531254098e-05,2.5784530871862235e-07,3.6602956818281864e-07,1.1227004497497497e-13,1.9779939698525185e-09,-6.333567505254377e-15
5,0.006012362302042668,2.703639097572588e-05,2.2638902544806308e-07,3.2479830396672747e-07,8.791946432587583e-14,1.6877162672198968e-09,-5.21713155773183e-15
5,0.0055261455582773945,2.2124617033547175e-05,1.7324114057419584e-07,2.523130873476207e-07,5.2600889575821806e-14,1.186145218931807e-09,-3.983957116615077e-15
5,0.005643325584603703,2.3855130402031856e-05,1.8589216485409487e-07,2.669720650468434e-07,5.937577967682888e-14,1.3032378067406938e-09,-3.4217075622840724e-15
5,0.005350977571237415,2.1621416740299576e-05,1.6469176196454475e-07,2.315723059282148e-07,4.5150098229618953e-14,1.0761668710393147e-09,-2.5786759510951632e-15
5,0.006170691388035966,2.7045956399264434e-05,2.3118780224874913e-07,3.5336904635757165e-07,1.0074012027180874e-13,1.8357873081320588e-09,-7.253179698802818e-15
5,0.006416354353375699,3.160440924578741e-05,2.8534855115751105e-07,3.991565671592893e-07,1.3454784307428733e-13,2.24280005546364e-09,-6.62615222494703e-15
5,0.005823001742878319,2.5681445549551037e-05,2.135551307825138e-07,3.004923562295517e-07,7.600918470920402e-14,1.521994212125026e-09,-4.126523014756683e-15
5,0.0054649220156225645,2.125972701004145e-05,1.6169814609984488e-07,2.432759777543792e-07,4.8104835437516595e-14,1.1208866224275663e-09,-3.745750986092639e-15
5,0.005665231019743537,2.4253309653415756e-05,1.9395439461530704e-07,2.733189350385564e-07,6.282975545208013e-14,1.3453122100879499e-09,-3.5420080715486125e-15
5,0.005258016534908244,2.123508550351512e-05,1.570631762831621e-07,2.2007159335936132e-07,4.08697981018398e-14,1.013158581228617e-09,-1.9239446879308062e-15
5,0.005475336875844441,2.175649072314555e-05,1.6107096025750555e-07,2.3914138028109094e-07,4.680520188911881e-14,1.1145513438698733e-09,-3.4792829811840813e-15
5,0.005211663413069285,2.0236029303303494e-05,1.5282309868017365e-07,2.1626109691614598e-07,3.923984173106324e-14,9.722297876335237e-10,-2.4354173411110634e-15
6,0.005616407406821906,2.3619917818200956e-05,1.524591614579424e-07,2.2411849921632372e-07,4.1361010068088946e-14,1.0888143458751378e-09,-2.3539171675399064e-15
6,0.005823043134182941,2.565569648449691e-05,1.7139392344892526e-07,2.489395561740115e-07,5.134740207722806e-14,1.2603988578605542e-09,-2.7458876190488607e-15
6,0.005939057619847411,2.658117243325674e-05,1.7929303238783211e-07,2.6196807478059646e-07,5.6683508525661734e-14,1.3500780890180972e-09,-3.215225679921662e-15
6,0.005744396162847966,2.4499006608923536e-05,1.585127446681192e-07,2.3713520861275382e-07,4.589294209149171e-14,1.1732536978147534e-09,-2.7534479729415047e-15
6,0.005929080864040389,2.610708712755265e-05,1.781206492019758e-07,2.667466393808063e-07,5.805475619423423e-14,1.36244736495852e-09,-3.221856194781497e-15
6,0.005994659149679969,2.668459252690302e-05,1.8467225637116264e-07,2.7538381269189916e-07,6.200830027597708e-14,1.422029478971786e-09,-3.4175695992228475e-15
6,0.006166477421608874,2.907048794633141e-05,2.1669049090388725e-07,3.046153865880508e-07,7.813467009034536e-14,1.6417003553696133e-09,-4.4521903547402536e-15
6,0.0062250260590374674,2.8974255664814048e-05,2.0365570811082352e-07,3.029618778919105e-07,7.514590267505871e-14,1.6302747710693298e-09,-4.034300024915861e-15
6,0.0062793575868352125,3.0306619863753517e-05,2.1907466429591683e-07,3.1735527517412064e-07,8.361048395451626e-14,1.7466121154396066e-09,-3.376873507832163e-15
6,0.004689893027779623,1.661410592134447e-05,8.901191325653485e-08,1.2704280703135692e-07,1.3479842061401045e-14,5.175770356468925e-10,-8.993224004374748e-16
6,0.006092694772644572,2.69952375812666e-05,1.8905862575228934e-07,2.8236149932448724e-07,6.505185082910409e-14,1.4663653892114275e-09,-4.936354277205068e-15
6,0.005769463530901439,2.458879512491671e-05,1.6346384869604463e-07,2.4476048648845986e-07,4.886790881084757e-14,1.2131832344161112e-09,-2.967138357558854e-15
6,0.006229483981092437,2.939506770013141e-05,2.0950500422445305e-07,3.065006479726773e-07,7.7578694241543e-14,1.661070256306719e-09,-3.731597299086587e-15
6,0.006089314935850883,2.734160074851916e-05,1.88091113474383e-07,2.838274343004483e-07,6.54562763576907e-14,1.4835478181750722e-09,-4.0123641600453505e-15
6,0.0058403044889151915,2.5736240289931225e-05,1.7234949283955371e-07,2.532624387312521e-07,5.284509690323065e-14,1.2844171926798378e-09,-2.6768978560197244e-15
